CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,id,station_id,test_id,time,apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
,-100,,-100,56,,2960042,CT2,None,4/14/2018 21:00,8.34,-1,4/14/2018 21:00,8.58,0.94,fog,51.51452534,-0.104515626,-100,-1,-1,rain,1011.96,Foggy,9.46,-1,1.52,94,-10,5.12
,-100,,-100,58.5,,2960043,BX9,None,4/14/2018 21:00,7.77,-1,4/14/2018 21:00,8.33,0.96,fog,51.46598327,0.184877127,-100,-1,-1,rain,1012.07,Foggy,8.97,-1,1.23,87,-10,5.1
,40.1,,-100,-100,,2960044,BX1,None,4/14/2018 21:00,7.77,-1,4/14/2018 21:00,8.33,0.96,fog,51.46598327,0.184877127,-100,-1,-1,rain,1012.07,Foggy,8.97,-1,1.23,87,-10,5.1
,-100,,-100,-100,,2960045,TH4,None,4/14/2018 21:00,7.77,-1,4/14/2018 21:00,8.26,0.95,fog,51.51504617,-0.008418493,-100,-1,-1,rain,1012.05,Foggy,9.05,-1,1.27,89,-10,5.37
,-100,,53,53,,2960046,ST5,None,4/14/2018 21:00,7.93,-1,4/14/2018 21:00,8.39,0.96,fog,51.3892869,-0.141661525,-100,-1,-1,rain,1011.9,Foggy,9.05,-1,1.71,101,-10,4.91
,40.1,,58.6,56,,2960047,RB7,None,4/14/2018 21:00,7.67,-1,4/14/2018 21:00,8.26,0.95,fog,51.56948433,0.082907475,-100,-1,-1,rain,1012.08,Foggy,8.94,-1,1.21,91,-10,5.3
,-100,,-100,32.5,,2960048,TD5,None,4/14/2018 21:00,7.88,-1,4/14/2018 21:00,8.31,0.95,clear-night,51.42525604,-0.345608291,-100,-1,-1,rain,1011.78,Clear,9.04,-1,2.02,98,-10,5.01
,60.2,,70.2,64.1,,2960086,CD1,None,4/14/2018 22:00,7.87,0,4/14/2018 22:00,8.26,0.95,fog,51.544219,-0.175284,-100,-1,-1,rain,1011.31,Foggy,8.97,-1,1.07,95,-10,4.8
,-100,,-100,-100,,2960087,BL0,None,4/14/2018 22:00,8.25,0,4/14/2018 22:00,8.45,0.95,fog,51.522287,-0.125848,-100,-1,-1,rain,1011.33,Foggy,9.27,-1,1.01,94,-10,4.72
,41.7,,72,57.8,,2960088,GR4,None,4/14/2018 22:00,7.83,0,4/14/2018 22:00,8.16,0.95,fog,51.45258,0.070766,-100,-1,-1,rain,1011.43,Foggy,8.87,-1,0.75,86,-10,4.6
,-100,,72.4,59.8,,2960089,MY7,None,4/14/2018 22:00,8.11,0,4/14/2018 22:00,8.38,0.95,fog,51.52254,-0.15459,-100,-1,-1,rain,1011.32,Foggy,9.15,-1,1.05,95,-10,4.73
,31.9,,43.2,42.2,,2960090,HV1,None,4/14/2018 22:00,7.72,0,4/14/2018 22:00,8.22,0.96,fog,51.52078746,0.205460706,-100,-1,-1,rain,1011.48,Foggy,8.84,-1,0.71,84,-10,4.8
,52.9,,67.2,61.5,,2960091,GN3,None,4/14/2018 22:00,7.78,0,4/14/2018 22:00,8.09,0.95,fog,51.486957,0.095111,-100,-1,-1,rain,1011.44,Foggy,8.86,-1,0.63,82,-10,4.7
,76,,75.5,65.4,,2960092,GR9,None,4/14/2018 22:00,7.86,0,4/14/2018 22:00,8.16,0.95,fog,51.456357,0.040725,-100,-1,-1,rain,1011.42,Foggy,8.89,-1,0.74,86,-10,4.59
,77.3,,73.4,62.5,,2960093,LW2,None,4/14/2018 22:00,7.99,0,4/14/2018 22:00,8.26,0.95,fog,51.474954,-0.039641,-100,-1,-1,rain,1011.35,Foggy,9.01,-1,0.87,91,-10,4.6
,67.3,,61.8,68.6,,2960094,GN0,None,4/14/2018 22:00,7.78,0,4/14/2018 22:00,8.04,0.94,fog,51.490532,0.074003,-100,-1,-1,rain,1011.44,Foggy,8.87,-1,0.54,79,-10,4.75
,-100,,-100,-100,,2960095,KF1,None,4/14/2018 22:00,7.82,0,4/14/2018 22:00,8.23,0.95,fog,51.52104675,-0.21349214,-100,-1,-1,rain,1011.28,Foggy,8.92,-1,1.21,97,-10,4.8
,93,,75.1,71.1,,2960096,CD9,None,4/14/2018 22:00,8.16,0,4/14/2018 22:00,8.4,0.95,fog,51.52770662,-0.129053205,-100,-1,-1,rain,1011.33,Foggy,9.19,-1,1.01,94,-10,4.73
,-100,,-100,-100,,2960097,CT3,None,4/14/2018 22:00,8.18,0,4/14/2018 22:00,8.39,0.95,fog,51.51384718,-0.077765682,-100,-1,-1,rain,1011.34,Foggy,9.19,-1,0.92,93,-10,4.68
,-100,,-100,68,,2960098,CT2,None,4/14/2018 22:00,8.39,0,4/14/2018 22:00,8.52,0.94,fog,51.51452534,-0.104515626,-100,-1,-1,rain,1011.33,Foggy,9.38,-1,0.97,94,-10,4.69
,-100,,-100,62.1,,2960099,BX9,None,4/14/2018 22:00,7.78,0,4/14/2018 22:00,8.24,0.96,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.46,Foggy,8.87,-1,0.75,83,-10,4.74
,57.6,,-100,-100,,2960100,BX1,None,4/14/2018 22:00,7.78,0,4/14/2018 22:00,8.24,0.96,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.46,Foggy,8.87,-1,0.75,83,-10,4.74
,-100,,-100,-100,,2960101,TH4,None,4/14/2018 22:00,7.85,0,4/14/2018 22:00,8.19,0.95,fog,51.51504617,-0.008418493,-100,-1,-1,rain,1011.42,Foggy,8.96,-1,0.7,86,-10,4.83
,-100,,72,71,,2960102,ST5,None,4/14/2018 22:00,7.94,0,4/14/2018 22:00,8.25,0.96,fog,51.3892869,-0.141661525,-100,-1,-1,rain,1011.28,Foggy,8.88,-1,1.2,102,-10,4.34
,38,,46.4,52,,2960103,RB7,None,4/14/2018 22:00,7.65,0,4/14/2018 22:00,8.16,0.96,fog,51.56948433,0.082907475,-100,-1,-1,rain,1011.46,Foggy,8.82,-1,0.72,89,-10,4.93
,-100,,-100,47.6,,2960104,TD5,None,4/14/2018 22:00,7.74,0,4/14/2018 22:00,8.18,0.96,fog,51.42525604,-0.345608291,-100,-1,-1,rain,1011.2,Foggy,8.81,-1,1.45,101,-10,4.63
,50.4,,70.7,59.4,,2960142,CD1,None,4/14/2018 23:00,8.33,0.75,4/14/2018 23:00,8.81,0.95,fog,51.544219,-0.175284,-100,-1,-1,rain,1011.19,Foggy,9.58,-1,1.12,113,-10,5.58
,65.8,,68.8,59.5,,2960143,BL0,None,4/14/2018 23:00,8.61,0.75,4/14/2018 23:00,8.83,0.93,fog,51.522287,-0.125848,-100,-1,-1,rain,1011.2,Foggy,9.83,-1,1.05,113,-10,5.63
,42.6,,62.4,52.8,,2960144,GR4,None,4/14/2018 23:00,7.93,0.75,4/14/2018 23:00,8.84,0.97,fog,51.45258,0.070766,-100,-1,-1,rain,1011.31,Foggy,9.32,-1,0.83,106,-10,5.86
,-100,,72.5,57,,2960145,MY7,None,4/14/2018 23:00,8.51,0.75,4/14/2018 23:00,8.83,0.94,fog,51.52254,-0.15459,-100,-1,-1,rain,1011.2,Foggy,9.73,-1,1.09,113,-10,5.59
,38.7,,36.4,35.6,,2960146,HV1,None,4/14/2018 23:00,7.93,0.75,4/14/2018 23:00,8.71,0.97,fog,51.52078746,0.205460706,-100,-1,-1,rain,1011.39,Foggy,9.22,-1,0.72,103,-10,5.49
,37,,59.4,55.1,,2960147,GN3,None,4/14/2018 23:00,7.75,0.75,4/14/2018 23:00,8.82,0.97,fog,51.486957,0.095111,-100,-1,-1,rain,1011.32,Foggy,9.22,-1,0.75,104,-10,6.1
,64.5,,69.1,57.8,,2960148,GR9,None,4/14/2018 23:00,7.94,0.75,4/14/2018 23:00,8.85,0.97,fog,51.456357,0.040725,-100,-1,-1,rain,1011.3,Foggy,9.33,-1,0.83,107,-10,5.9
,69.8,,69.2,66.7,,2960149,LW2,None,4/14/2018 23:00,8.19,0.75,4/14/2018 23:00,8.84,0.96,fog,51.474954,-0.039641,-100,-1,-1,rain,1011.23,Foggy,9.51,-1,0.94,111,-10,5.78
,57.5,,50.2,56.6,,2960150,GN0,None,4/14/2018 23:00,7.61,0.75,4/14/2018 23:00,8.84,0.98,fog,51.490532,0.074003,-100,-1,-1,rain,1011.31,Foggy,9.16,-1,0.69,103,-10,6.34
,-100,,-100,-100,,2960151,KF1,None,4/14/2018 23:00,8.27,0.75,4/14/2018 23:00,8.81,0.95,fog,51.52104675,-0.21349214,-100,-1,-1,rain,1011.16,Foggy,9.54,-1,1.2,115,-10,5.63
,89.9,,-100,-100,,2960152,CD9,None,4/14/2018 23:00,8.52,0.75,4/14/2018 23:00,8.82,0.94,fog,51.52770662,-0.129053205,-100,-1,-1,rain,1011.2,Foggy,9.76,-1,1.05,113,-10,5.63
,-100,,49.6,58,,2960153,CT3,None,4/14/2018 23:00,8.46,0.75,4/14/2018 23:00,8.83,0.94,fog,51.51384718,-0.077765682,-100,-1,-1,rain,1011.22,Foggy,9.72,-1,0.98,111,-10,5.72
,-100,,-100,56,,2960154,CT2,None,4/14/2018 23:00,8.71,0.75,4/14/2018 23:00,8.83,0.93,fog,51.51452534,-0.104515626,-100,-1,-1,rain,1011.21,Foggy,9.92,-1,1.02,112,-10,5.66
,-100,,-100,48.6,,2960155,BX9,None,4/14/2018 23:00,7.98,0.75,4/14/2018 23:00,8.73,0.97,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.39,Foggy,9.26,-1,0.76,103,-10,5.48
,33.5,,-100,-100,,2960156,BX1,None,4/14/2018 23:00,7.98,0.75,4/14/2018 23:00,8.73,0.97,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.39,Foggy,9.26,-1,0.76,103,-10,5.48
,-100,,-100,-100,,2960157,TH4,None,4/14/2018 23:00,7.93,0.75,4/14/2018 23:00,8.81,0.96,fog,51.51504617,-0.008418493,-100,-1,-1,rain,1011.3,Foggy,9.36,-1,0.79,106,-10,6.03
,-100,,66,57,,2960158,ST5,None,4/14/2018 23:00,8.3,0.75,4/14/2018 23:00,8.93,0.96,fog,51.3892869,-0.141661525,-100,-1,-1,rain,1011.18,Foggy,9.51,-1,1.1,122,-10,5.41
,38,,44.4,46,,2960159,RB7,None,4/14/2018 23:00,7.84,0.75,4/14/2018 23:00,8.73,0.97,fog,51.56948433,0.082907475,-100,-1,-1,rain,1011.32,Foggy,9.24,-1,0.78,105,-10,5.86
,-100,,-100,59.3,,2960160,TD5,None,4/14/2018 23:00,8.3,0.75,4/14/2018 23:00,8.91,0.96,fog,51.42525604,-0.345608291,-100,-1,-1,rain,1011.1,Foggy,9.53,-1,1.4,119,-10,5.51
,48.2,,60.3,55.5,,2960198,CD1,None,4/15/2018 0:00,10.02,1,4/15/2018 0:00,9.26,0.95,fog,51.544219,-0.175284,-100,-1,-1,rain,1010.8,Foggy,10.02,-1,1.44,126,-10,6.77
,-100,,-100,-100,,2960199,BL0,None,4/15/2018 0:00,10.15,1,4/15/2018 0:00,9.29,0.94,fog,51.522287,-0.125848,-100,-1,-1,rain,1010.81,Foggy,10.15,-1,1.39,126,-10,6.75
,36.6,,53.8,49.1,,2960200,GR4,None,4/15/2018 0:00,8.33,1,4/15/2018 0:00,9.07,0.95,fog,51.45258,0.070766,-100,-1,-1,rain,1010.95,Foggy,9.85,-1,1.27,120,-10,6.69
,-100,,63.5,53.1,,2960201,MY7,None,4/15/2018 0:00,10.1,1,4/15/2018 0:00,9.28,0.95,fog,51.52254,-0.15459,-100,-1,-1,rain,1010.8,Foggy,10.1,-1,1.43,126,-10,6.76
,29,,36,35.7,,2960202,HV1,None,4/15/2018 0:00,8.24,1,4/15/2018 0:00,8.97,0.96,fog,51.52078746,0.205460706,-100,-1,-1,rain,1011.06,Foggy,9.64,-1,1.16,114,-10,6.13
,36,,56.1,51,,2960203,GN3,None,4/15/2018 0:00,8.33,1,4/15/2018 0:00,9.03,0.95,fog,51.486957,0.095111,-100,-1,-1,rain,1010.97,Foggy,9.84,-1,1.24,117,-10,6.68
,58.1,,58.6,52.5,,2960204,GR9,None,4/15/2018 0:00,8.36,1,4/15/2018 0:00,9.08,0.95,fog,51.456357,0.040725,-100,-1,-1,rain,1010.94,Foggy,9.88,-1,1.28,120,-10,6.72
,67.9,,59.1,56.9,,2960205,LW2,None,4/15/2018 0:00,8.48,1,4/15/2018 0:00,9.18,0.95,fog,51.474954,-0.039641,-100,-1,-1,rain,1010.84,Foggy,9.98,-1,1.33,124,-10,6.75
,51.4,,46.4,55.3,,2960206,GN0,None,4/15/2018 0:00,8.36,1,4/15/2018 0:00,9.02,0.94,fog,51.490532,0.074003,-100,-1,-1,rain,1010.96,Foggy,9.89,-1,1.23,115,-10,6.77
,-100,,52.5,46.1,,2960207,KF1,None,4/15/2018 0:00,10.06,1,4/15/2018 0:00,9.31,0.95,fog,51.52104675,-0.21349214,-100,-1,-1,rain,1010.75,Foggy,10.06,-1,1.55,129,-10,6.91
,80.5,,50,46.8,,2960208,CD9,None,4/15/2018 0:00,10.11,1,4/15/2018 0:00,9.28,0.95,fog,51.52770662,-0.129053205,-100,-1,-1,rain,1010.81,Foggy,10.11,-1,1.39,126,-10,6.75
,54.8,,49,49,,2960209,CT3,None,4/15/2018 0:00,10.09,1,4/15/2018 0:00,9.25,0.95,fog,51.51384718,-0.077765682,-100,-1,-1,rain,1010.83,Foggy,10.09,-1,1.34,124,-10,6.73
,-100,,-100,59,,2960210,CT2,None,4/15/2018 0:00,10.21,1,4/15/2018 0:00,9.31,0.94,fog,51.51452534,-0.104515626,-100,-1,-1,rain,1010.82,Foggy,10.21,-1,1.37,125,-10,6.74
,-100,,-100,47.8,,2960211,BX9,None,4/15/2018 0:00,8.3,1,4/15/2018 0:00,8.99,0.95,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.05,Foggy,9.69,-1,1.21,115,-10,6.13
,33.8,,-100,-100,,2960212,BX1,None,4/15/2018 0:00,8.3,1,4/15/2018 0:00,8.99,0.95,fog,51.46598327,0.184877127,-100,-1,-1,rain,1011.05,Foggy,9.69,-1,1.21,115,-10,6.13
,-100,,-100,-100,,2960213,TH4,None,4/15/2018 0:00,8.39,1,4/15/2018 0:00,9.08,0.95,fog,51.51504617,-0.008418493,-100,-1,-1,rain,1010.94,Foggy,9.9,-1,1.27,119,-10,6.72
,-100,,35,33,,2960214,ST5,None,4/15/2018 0:00,8.44,1,4/15/2018 0:00,9.24,0.95,fog,51.3892869,-0.141661525,-100,-1,-1,rain,1010.75,Foggy,9.97,-1,1.51,131,-10,6.84
,31.2,,56.4,41,,2960215,RB7,None,4/15/2018 0:00,8.21,1,4/15/2018 0:00,9.01,0.95,fog,51.56948433,0.082907475,-100,-1,-1,rain,1010.98,Foggy,9.73,-1,1.19,119,-10,6.62
,-100,,-100,54,,2960216,TD5,None,4/15/2018 0:00,10.16,1,4/15/2018 0:00,9.43,0.95,fog,51.42525604,-0.345608291,-100,-1,-1,rain,1010.67,Foggy,10.16,-1,1.79,131,-10,6.94
,48,,54.5,49.6,,2960254,CD1,None,4/15/2018 1:00,10.79,1,4/15/2018 1:00,9.42,0.91,cloudy,51.544219,-0.175284,-100,-1,-1,rain,1010.34,Overcast,10.79,-1,2.1,130,-10,6.56
,-100,,-100,-100,,2960255,BL0,None,4/15/2018 1:00,11.02,1,4/15/2018 1:00,9.41,0.9,cloudy,51.522287,-0.125848,-100,-1,-1,rain,1010.35,Overcast,11.02,-1,2.06,127,-10,6.46
,34.3,,54.9,46.2,,2960256,GR4,None,4/15/2018 1:00,10.63,1,4/15/2018 1:00,9.34,0.92,fog,51.45258,0.070766,-100,-1,-1,rain,1010.47,Foggy,10.63,-1,1.93,114,-10,6.34
,-100,,47.5,41.6,,2960257,MY7,None,4/15/2018 1:00,10.93,1,4/15/2018 1:00,9.42,0.9,cloudy,51.52254,-0.15459,-100,-1,-1,rain,1010.34,Overcast,10.93,-1,2.1,129,-10,6.49
,26.1,,42.7,43.2,,2960258,HV1,None,4/15/2018 1:00,10.36,1,4/15/2018 1:00,9.33,0.93,fog,51.52078746,0.205460706,-100,-1,-1,rain,1010.56,Foggy,10.36,-1,1.73,111,-10,5.76
,36.7,,51.4,48.8,,2960259,GN3,None,4/15/2018 1:00,10.67,1,4/15/2018 1:00,9.25,0.91,fog,51.486957,0.095111,-100,-1,-1,rain,1010.48,Foggy,10.67,-1,1.86,107,-10,6.78
,48.4,,54.8,49.1,,2960260,GR9,None,4/15/2018 1:00,10.68,1,4/15/2018 1:00,9.33,0.91,fog,51.456357,0.040725,-100,-1,-1,rain,1010.46,Foggy,10.68,-1,1.94,113,-10,6.43
,52.8,,54.1,45.6,,2960261,LW2,None,4/15/2018 1:00,10.79,1,4/15/2018 1:00,9.37,0.91,cloudy,51.474954,-0.039641,-100,-1,-1,rain,1010.37,Overcast,10.79,-1,2.01,119,-10,6.42
,47.1,,43.8,51.2,,2960262,GN0,None,4/15/2018 1:00,10.78,1,4/15/2018 1:00,9.17,0.9,fog,51.490532,0.074003,-100,-1,-1,rain,1010.47,Foggy,10.78,-1,1.85,102,-10,7.29
,-100,,41.3,36.2,,2960263,KF1,None,4/15/2018 1:00,10.84,1,4/15/2018 1:00,9.46,0.91,cloudy,51.52104675,-0.21349214,-100,-1,-1,rain,1010.31,Overcast,10.84,-1,2.25,134,-10,6.72
,79.8,,-100,-100,,2960264,CD9,None,4/15/2018 1:00,10.96,1,4/15/2018 1:00,9.41,0.9,cloudy,51.52770662,-0.129053205,-100,-1,-1,rain,1010.35,Overcast,10.96,-1,2.06,127,-10,6.47
,-100,,-100,-100,,2960265,CT3,None,4/15/2018 1:00,10.94,1,4/15/2018 1:00,9.39,0.9,cloudy,51.51384718,-0.077765682,-100,-1,-1,rain,1010.36,Overcast,10.94,-1,2.01,122,-10,6.45
,-100,,-100,49,,2960266,CT2,None,4/15/2018 1:00,11.11,1,4/15/2018 1:00,9.41,0.89,cloudy,51.51452534,-0.104515626,-100,-1,-1,rain,1010.35,Overcast,11.11,-1,2.04,125,-10,6.44
,-100,,-100,52,,2960267,BX9,None,4/15/2018 1:00,10.42,1,4/15/2018 1:00,9.36,0.93,fog,51.46598327,0.184877127,-100,-1,-1,rain,1010.55,Foggy,10.42,-1,1.82,111,-10,5.67
,34.7,,-100,-100,,2960268,BX1,None,4/15/2018 1:00,10.42,1,4/15/2018 1:00,9.36,0.93,fog,51.46598327,0.184877127,-100,-1,-1,rain,1010.55,Foggy,10.42,-1,1.82,111,-10,5.67
,-100,,-100,-100,,2960269,TH4,None,4/15/2018 1:00,10.73,1,4/15/2018 1:00,9.27,0.91,fog,51.51504617,-0.008418493,-100,-1,-1,rain,1010.45,Foggy,10.73,-1,1.86,111,-10,6.72
,-100,,28,29,,2960270,ST5,None,4/15/2018 1:00,10.67,1,4/15/2018 1:00,9.51,0.93,cloudy,51.3892869,-0.141661525,-100,-1,-1,rain,1010.3,Overcast,10.67,-1,2.29,135,-10,6.21
,31.3,,48.4,50,,2960271,RB7,None,4/15/2018 1:00,10.47,1,4/15/2018 1:00,9.27,0.92,fog,51.56948433,0.082907475,-100,-1,-1,rain,1010.48,Foggy,10.47,-1,1.73,115,-10,6.45
,-100,,-100,32.6,,2960272,TD5,None,4/15/2018 1:00,10.87,1,4/15/2018 1:00,9.56,0.92,cloudy,51.42525604,-0.345608291,-100,-1,-1,rain,1010.25,Overcast,10.87,-1,2.51,142,-10,6.87
,41,,52.5,48.1,,2960310,CD1,None,4/15/2018 2:00,11.68,0.75,4/15/2018 2:00,9.82,0.88,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,1010.04,Mostly Cloudy,11.68,-1,3.63,143,-10,7.31
,-100,,-100,-100,,2960311,BL0,None,4/15/2018 2:00,12.11,0.75,4/15/2018 2:00,9.88,0.86,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,1010.04,Mostly Cloudy,12.11,-1,3.56,140,-10,7.08
,31,,53.1,47,,2960312,GR4,None,4/15/2018 2:00,11.4,0.75,4/15/2018 2:00,9.89,0.9,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,1010.14,Mostly Cloudy,11.4,-1,3.35,124,-10,6.53
,-100,,46.6,39,,2960313,MY7,None,4/15/2018 2:00,11.93,0.75,4/15/2018 2:00,9.86,0.87,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,1010.04,Mostly Cloudy,11.93,-1,3.61,142,-10,7.21
,22.8,,47.1,46.3,,2960314,HV1,None,4/15/2018 2:00,11.08,0.75,4/15/2018 2:00,9.94,0.93,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,1010.18,Mostly Cloudy,11.08,-1,3.17,120,-10,5.9
,40.2,,49.8,46.9,,2960315,GN3,None,4/15/2018 2:00,11.5,0.75,4/15/2018 2:00,9.91,0.9,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,1010.14,Mostly Cloudy,11.5,-1,3.14,111,-10,6.61
,44.1,,54.1,49.1,,2960316,GR9,None,4/15/2018 2:00,11.47,0.75,4/15/2018 2:00,9.88,0.9,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,1010.14,Mostly Cloudy,11.47,-1,3.34,124,-10,6.57
,56.6,,56.3,48.1,,2960317,LW2,None,4/15/2018 2:00,11.67,0.75,4/15/2018 2:00,9.86,0.89,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,1010.06,Mostly Cloudy,11.67,-1,3.48,132,-10,6.72
,48.1,,44.5,51.2,,2960318,GN0,None,4/15/2018 2:00,11.68,0.75,4/15/2018 2:00,9.91,0.89,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,1010.14,Mostly Cloudy,11.68,-1,3.06,102,-10,6.98
,-100,,-100,-100,,2960319,KF1,None,4/15/2018 2:00,11.66,0.8,4/15/2018 2:00,9.8,0.88,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,1010.02,Mostly Cloudy,11.66,-1,3.82,148,-10,7.58
,76.4,,44.8,43.6,,2960320,CD9,None,4/15/2018 2:00,11.99,0.75,4/15/2018 2:00,9.87,0.87,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,1010.04,Mostly Cloudy,11.99,-1,3.56,140,-10,7.09
,-100,,-100,-100,,2960321,CT3,None,4/15/2018 2:00,11.98,0.75,4/15/2018 2:00,9.88,0.87,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,1010.05,Mostly Cloudy,11.98,-1,3.47,135,-10,6.85
,-100,,-100,43,,2960322,CT2,None,4/15/2018 2:00,12.28,0.75,4/15/2018 2:00,9.91,0.85,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,1010.05,Mostly Cloudy,12.28,-1,3.53,138,-10,6.98
,-100,,-100,47.6,,2960323,BX9,None,4/15/2018 2:00,11.13,0.75,4/15/2018 2:00,9.97,0.93,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,1010.17,Mostly Cloudy,11.13,-1,3.34,121,-10,5.85
,41.1,,-100,-100,,2960324,BX1,None,4/15/2018 2:00,11.13,0.75,4/15/2018 2:00,9.97,0.93,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,1010.17,Mostly Cloudy,11.13,-1,3.34,121,-10,5.85
,-100,,-100,-100,,2960325,TH4,None,4/15/2018 2:00,11.61,0.75,4/15/2018 2:00,9.89,0.89,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,1010.13,Mostly Cloudy,11.61,-1,3.17,118,-10,6.68
,-100,,28,28,,2960326,ST5,None,4/15/2018 2:00,11.32,0.83,4/15/2018 2:00,9.76,0.9,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,1010.05,Mostly Cloudy,11.32,-1,3.82,155,-10,7.54
,31.2,,47.2,47,,2960327,RB7,None,4/15/2018 2:00,11.24,0.75,4/15/2018 2:00,9.86,0.91,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,1010.14,Mostly Cloudy,11.24,-1,3.03,123,-10,6.6
,-100,,-100,27.3,,2960328,TD5,None,4/15/2018 2:00,11.45,0.81,4/15/2018 2:00,9.71,0.89,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,1010.02,Mostly Cloudy,11.45,-1,3.96,156,-10,8.18
,34.1,,54.4,50,,2960366,CD1,None,4/15/2018 3:00,12.57,0.75,4/15/2018 3:00,9.64,0.82,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,1009.81,Mostly Cloudy,12.57,-1,5.39,167,-10,7.02
,55.8,,48.5,-100,,2960367,BL0,None,4/15/2018 3:00,12.96,0.75,4/15/2018 3:00,9.61,0.8,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,1009.82,Mostly Cloudy,12.96,-1,5.34,167,-10,6.84
,-100,,50.1,-100,,2960368,GR4,None,4/15/2018 3:00,12.74,0.75,4/15/2018 3:00,9.62,0.81,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,1009.9,Mostly Cloudy,12.74,-1,5.31,157,-10,5.77
,-100,,52,45,,2960369,MY7,None,4/15/2018 3:00,12.79,0.75,4/15/2018 3:00,9.62,0.81,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,1009.82,Mostly Cloudy,12.79,-1,5.38,168,-10,6.96
,23.4,,39.3,39.6,,2960370,HV1,None,4/15/2018 3:00,12.23,0.75,4/15/2018 3:00,9.88,0.86,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,1009.93,Mostly Cloudy,12.23,-1,4.84,142,-10,4.52
,41.3,,50.3,45.8,,2960371,GN3,None,4/15/2018 3:00,13.06,0.75,4/15/2018 3:00,9.59,0.8,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,1009.89,Mostly Cloudy,13.06,-1,5.42,153,-10,5.55
,43.7,,55,47.1,,2960372,GR9,None,4/15/2018 3:00,12.84,0.75,4/15/2018 3:00,9.59,0.81,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,1009.9,Mostly Cloudy,12.84,-1,5.37,159,-10,5.97
,59.4,,53.6,52.7,,2960373,LW2,None,4/15/2018 3:00,12.81,0.75,4/15/2018 3:00,9.58,0.81,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,1009.84,Mostly Cloudy,12.81,-1,5.39,165,-10,6.53
,49.6,,42.3,47.3,,2960374,GN0,None,4/15/2018 3:00,13.5,0.75,4/15/2018 3:00,9.48,0.77,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,1009.89,Mostly Cloudy,13.5,-1,5.63,155,-10,5.71
,-100,,40.7,36.3,,2960375,KF1,None,4/15/2018 3:00,12.51,0.8,4/15/2018 3:00,9.55,0.82,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,1009.8,Mostly Cloudy,12.51,-1,5.56,169,-10,7.3
,70.1,,-100,-100,,2960376,CD9,None,4/15/2018 3:00,12.87,0.75,4/15/2018 3:00,9.62,0.81,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,1009.82,Mostly Cloudy,12.87,-1,5.34,167,-10,6.85
,-100,,-100,-100,,2960377,CT3,None,4/15/2018 3:00,12.94,0.75,4/15/2018 3:00,9.6,0.8,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,1009.83,Mostly Cloudy,12.94,-1,5.34,165,-10,6.65
,-100,,-100,53,,2960378,CT2,None,4/15/2018 3:00,13.12,0.75,4/15/2018 3:00,9.6,0.79,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,1009.83,Mostly Cloudy,13.12,-1,5.34,166,-10,6.76
